video_id,video_url,id,comment,author,likes,timestamp,is_reply,parent_id
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,1,,@galihgundara,0,2025-12-26T10:37:44Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,2,"Adakah video baca puisi, bang?",@BotolKaca-w6q,0,2025-12-26T08:06:11Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,3,Masih lucu bang😂🎉,@nenihertiyani9201,0,2025-12-25T09:11:22Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,4,"Cikupa -ciputat paling satu jam zawin, hadeh hadeh",@WulanDari-tu1cv,1,2025-12-25T07:29:15Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,5,hari ke 5 Baru nonton bang 😊,@haaerf,0,2025-12-24T19:23:16Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,6,"Ga kuat kyk crita gw banget, emng laki"" bgst tu iman 😅😂😂😂",@SegmenGizi,0,2025-12-24T12:34:42Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,7,😂 waduh untung beriman ya man ayo ke citra ajh ngopi man di bunderan 3😂😂😂,@LICENNEL,0,2025-12-24T10:09:52Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,8,Sumpah ini kocak bengtt 😂,@balaagajibong,0,2025-12-24T08:23:10Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,9,Teruslah berkarya dan terbang tinggi sampai karya engkau bisa dinikmati oleh seluruh isi bumi baik kaya maupun miskin. Seniman sejati meninggalkan karya dan nama yang akan dikenang sepanjang masa.,@proefnad9243,0,2025-12-24T07:03:29Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,10,Hadehhh Mane mahal banget hampir 400 rebu😢😢,@byyou2527,0,2025-12-23T20:14:45Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,11,Brangak apa bang ..,@BlackMagic5297,0,2025-12-23T15:13:17Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,12,Ciputat - cikupa njir... 😂😂😂 jauh beut 😂,@oktoprasetyo458,0,2025-12-23T14:58:12Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,13,"pengen nonton full tapi harganya 338rb, gk usah nonton deh daripada gk beli beras 🤣",@baharpritit6470,0,2025-12-23T13:46:14Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,14,Smga ceweknya liat ini dan sadar...ga mainin perasaan lagi😂😂,@akhtarsidik1820,0,2025-12-23T12:22:17Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,15,Ini ketawanya kyk sitkom bajaj Bajuri (efek suara) 😂,@sabdakophi1871,0,2025-12-23T12:18:07Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,16,Iya deh,@fakhrudinarrazi1418,0,2025-12-23T14:55:54Z,True,UgzOApJNhSEu1mh7faB4AaABAg
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,17,Ciputat-cikupa jam pulang kerja wkwk,@rommywibowo2086,0,2025-12-23T11:17:11Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,18,Bang ajak ngobrol santai mongol satanic dong 🌻,@maspevbahrul,0,2025-12-23T04:26:21Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,19,😂,@doniabay4039,0,2025-12-22T15:55:16Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,20,"Wanitanya tidak ingin pri nya, melainkan hanya ingin melihat rasengan nya😂",@humor_indo62,1,2025-12-22T12:05:57Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,21,d'belokin k'manaaaa naruto gw pngen liat rasengan...,@SuperDikol,0,2025-12-22T10:34:25Z,False,
2M3s7xLiffE,https://www.youtube.com/watch?v=2M3s7xLiffE,22,"Cerita gini doang bisa bikin orang ketawa ya 😅
Story telling nya 👏",@MrLyricspedia,0,2025-12-22T08:33:43Z,False,
