id,comment,author,likes,timestamp,is_reply,parent_id
1,Tolong ini maid pluit karang sari 6 no 10 bisa diterminate ga . Mereka chunPHAI TDK PNY SOPAN SANTUN MALAH TAMBAH SENGAJA,@mercyuponusPsalm91,0,2025-10-29T21:17:36Z,False,
2,"MEREKA BERTEMAN DENGAN INGE FANG 

MEREKA SANGAT JAHAT SEKALI",@mercyuponusPsalm91,0,2025-10-29T21:18:06Z,True,UgzM_iSdt5E7_5OaYvB4AaABAg
3,"MEREKA SUKA PAKE HWANA LAKI2 COBA EMOSI SAYA MASIH GA MAU MINTA MAAF PAK KSRENA ART JNI CJNTA AYAH SAYA DAN LIHAT SY GA ADA ORANG 

TOLONG IKAT MRK TERIMA KASIH  

MERKA BNYK MENYALAHI HUKUM",@mercyuponusPsalm91,0,2025-10-29T21:19:31Z,True,UgzM_iSdt5E7_5OaYvB4AaABAg
4,berarti danantara itu semacam superholding kaya blackrock inc atau vanguard group gitu ya ? maaf awam,@chotibulu4535,0,2025-10-01T06:01:22Z,False,
5,?,@ahmadasfihaniaan792,0,2025-09-27T22:12:22Z,False,
6,Menurut saya arti Danantara yg ada saat ini malah salah kaprah  tdk sesuai dgn nomenklatur yg seharusnya.Sovereign....saya artikan berdaulat...bhw dana yg ada itu dpt digunakan langsung oleh pengurus tanpa hrs izin...kalau aset bernilai tapi dia bukan dana atau uang wujudnya.,@map708,0,2025-09-20T14:09:13Z,False,
7,Konsep Danantara adalah duit cari duit....bukan duit dibuat aset utk cari duit.Krn sifat operasi Danantara tdk hrs permanen...tapi lbh kpd insidentil sesuai pasar,@map708,0,2025-09-20T14:10:50Z,True,UgwiPZ41V8SVSurqJ-R4AaABAg
8,SETUJU BANGETTT,@AmirSitorus-h7s,0,2025-09-19T01:18:20Z,False,
9,"APA UKURANNYA GAGAL DAN TAK GAGAL?.
YANG IYANYA DUIT DISINI LEBIH TERKONSENTRASI, KALAU DULU DIMAKAN RAMAI-RAMAI, SEKARANG BAGAIMANA?. HASILNYA LAH LIHAT NANTI.",@RockyGerung-t6h,0,2025-09-13T03:40:16Z,False,
10,"Cuma kok ada,mantan koruptor,dst..sperti Burhanuddin...yg korupsi di BI
Knp bosa masuk,apakah nggk ada orang lg, yg pantas, mhn dibantu dijawab, Ya..Bang",@donypurwaa5011,0,2025-09-08T17:22:52Z,False,
11,"Secara ga langsung yg awalnya org2 ga peduli dengan BUMN malah menjadi peduli karena BUMN di DANANTARA sudah menjadi Subject to Audit

Terimakasih pak prabowo",@tanato_inc,0,2025-09-08T16:20:32Z,False,
