id,comment,cleanText,typoNormalized,translated,negationHandled,noStopword,tokens,stemmed,wordCount,finalText,sentiment,confidence,labelMethod
1,"Penasaran gak sama Tunisia tuh seperti apa?

Yuk ikuti perjalanan aku keliling dunia dengan subscribe channel youtube ini ya!",penasaran gak sama tunisia tuh seperti apa yuk ikuti perjalanan aku keliling dunia dengan subscribe channel youtube ini ya,penasaran tidak sama tunisia tuh seperti apa yuk ikuti perjalanan aku keliling dunia dengan subscribe channel youtube ini iya,penasaran tidak sama tunisia tuh seperti apa yuk ikuti perjalanan aku keliling dunia dengan subscribe channel youtube ini iya,penasaran tidak sama tunisia tuh seperti apa yuk ikuti perjalanan aku keliling dunia dengan subscribe channel youtube ini iya,penasaran sama tunisia tuh apa yuk ikuti perjalanan aku keliling dunia subscribe channel youtube iya,"['penasaran', 'sama', 'tunisia', 'tuh', 'apa', 'yuk', 'ikuti', 'perjalanan', 'aku', 'keliling', 'dunia', 'subscribe', 'channel', 'youtube', 'iya']",penasaran sama tunisia tuh apa yuk ikut jalan aku keliling dunia subscribe channel youtube iya,15,penasaran sama tunisia tuh apa yuk ikut jalan aku keliling dunia subscribe channel youtube iya,Netral,Low,Auto
3,Ko rekomen tour nyaaaa dong biar nggg kena zonk kalo d sana,ko rekomen tour nya dong biar ng kena zonk kalo d sana,ko rekomendasi tour nya dong biar ng kena zonk kalau d sana,ko rekomendasi tour nya dong biar ng kena zonk kalau d sana,ko rekomendasi tour nya dong biar ng kena zonk kalau d sana,ko rekomendasi tour nya dong biar ng kena zonk kalau d sana,"['ko', 'rekomendasi', 'tour', 'nya', 'dong', 'biar', 'ng', 'kena', 'zonk', 'kalau', 'd', 'sana']",ko rekomendasi tour nya dong biar ng kena zonk kalau d sana,12,ko rekomendasi tour nya dong biar ng kena zonk kalau d sana,Netral,Low,Auto
4,Aayukkkkk,aayuk,aayuk,aayuk,aayuk,aayuk,['aayuk'],aayuk,1,aayuk,Netral,Low,Auto
5,Bunga kertas,bunga kertas,bunga kertas,bunga kertas,bunga kertas,bunga kertas,"['bunga', 'kertas']",bunga kertas,2,bunga kertas,Netral,Low,Auto
6,Selalu di tunggu videonya rasanya GK indah hari kalau GK lihat you tube  lio,selalu di tunggu videonya rasanya gk indah hari kalau gk lihat you tube lio,selalu di tunggu videonya rasanya tidak indah hari kalau tidak lihat you tube lio,selalu di tunggu videonya rasanya tidak indah hari kalau tidak lihat you tube lio,selalu di tunggu videonya rasanya tidak indah hari kalau tidak lihat you tube lio,selalu tunggu videonya rasanya indah hari kalau lihat you tube lio,"['selalu', 'tunggu', 'videonya', 'rasanya', 'indah', 'hari', 'kalau', 'lihat', 'you', 'tube', 'lio']",selalu tunggu video rasa indah hari kalau lihat you tube lio,11,selalu tunggu video rasa indah hari kalau lihat you tube lio,Netral,Medium,Auto
7,"Seindah itu ternyata Tunisia, Tunis..bersih...rapi...🎉🎉....tks Liu.",seindah itu ternyata tunisia tunisbersihrapitks liu,seindah itu ternyata tunisia tunisbersihrapitks liu,seindah itu ternyata tunisia tunisbersihrapitks liu,seindah itu ternyata tunisia tunisbersihrapitks liu,seindah ternyata tunisia tunisbersihrapitks liu,"['seindah', 'ternyata', 'tunisia', 'tunisbersihrapitks', 'liu']",indah nyata tunisia tunisbersihrapitks liu,5,indah nyata tunisia tunisbersihrapitks liu,Positif,Medium,Auto
8,Saya izin luruskan. Lambang Bulan Sabit dan Bintang BUKAN representase dari era Bizantium. Sebab lambang imperium itu adalah Burung Berkepala Dua.,saya izin luruskan lambang bulan sabit dan bintang bukan representase dari era bizantium sebab lambang imperium itu adalah burung berkepala dua,saya izin luruskan lambang bulan sabit dan bintang bukan representase dari era bizantium sebab lambang imperium itu adalah burung berkepala dua,saya izin luruskan lambang bulan sabit dan bintang bukan representase dari era bizantium sebab lambang imperium itu adalah burung berkepala dua,saya izin luruskan lambang bulan sabit dan bintang bukan representase dari era bizantium sebab lambang imperium itu adalah burung berkepala dua,izin luruskan lambang bulan sabit bintang bukan representase era bizantium lambang imperium adalah burung berkepala,"['izin', 'luruskan', 'lambang', 'bulan', 'sabit', 'bintang', 'bukan', 'representase', 'era', 'bizantium', 'lambang', 'imperium', 'adalah', 'burung', 'berkepala']",izin lurus lambang bulan sabit bintang bukan representase era bizantium lambang imperium adalah burung kepala,15,izin lurus lambang bulan sabit bintang bukan representase era bizantium lambang imperium adalah burung kepala,Negatif,Medium,Auto
9,masjid yang terakhir mirip masjid al azhar di Mesir ya,masjid yang terakhir mirip masjid al azhar di mesir ya,masjid yang terakhir mirip masjid al azhar di mesir iya,masjid yang terakhir mirip masjid al azhar di mesir iya,masjid yang terakhir mirip masjid al azhar di mesir iya,masjid terakhir mirip masjid al azhar mesir iya,"['masjid', 'terakhir', 'mirip', 'masjid', 'al', 'azhar', 'mesir', 'iya']",masjid akhir mirip masjid al azhar mesir iya,8,masjid akhir mirip masjid al azhar mesir iya,Negatif,Medium,Auto
10,Banyak cewek2 di tunisia ini mirip nessie judge😂,banyak cewek di tunisia ini mirip nessie judge,banyak cewek di tunisia ini mirip nessie judge,banyak cewek di tunisia ini mirip nessie judge,banyak cewek di tunisia ini mirip nessie judge,banyak cewek tunisia mirip nessie judge,"['banyak', 'cewek', 'tunisia', 'mirip', 'nessie', 'judge']",banyak cewek tunisia mirip nessie judge,6,banyak cewek tunisia mirip nessie judge,Negatif,Medium,Auto
11,"next time, ke positano amalfi coast italy bang.",next time ke positano amalfi coast italy bang,next time ke positano amalfi coast italy bang,next time ke positano amalfi coast italy bang,next time ke positano amalfi coast italy bang,next time positano amalfi coast italy bang,"['next', 'time', 'positano', 'amalfi', 'coast', 'italy', 'bang']",next time positano amalfi coast italy bang,7,next time positano amalfi coast italy bang,Positif,Medium,Auto
